City,temperatura_max,temperatura_min,temperatura_med,senacion_termica,presion,wind_speed
Barcelona,9.64,7.65,8.52,6.39,1019,3.6
Madrid,8.68,4.51,7.41,3.1,1019,8.75
Bilbao,6.02,4.81,5.46,2.17,1028,4.47
